
id,question,answer1,answer2,answer3,answer4,answer5,answer6,coanswer,serie,difficulty,created_at
133,Quel type de restaurant Eda Shiro voudrait-il ouvrir une fois sorti de prison ?,Un restaurant de ramen,Un restaurant de sushis,Un restaurant de yakitori,Un restaurant de curry,Un restaurant de barbecue,Un restaurant de tempura,2,Prisonnier Riku,veryhard,2025-10-30 16:46:43.115066+00
134,Qu'aime par dessus tout Takagi ?,Les animaux,Les femmes,Les cheveux,Les jeux vidéos,Les vêtements,Les séries romantiques,1,Prisonnier Riku,veryhard,2025-10-30 16:46:43.115066+00
135,Quel type d'arme utilise Sawada pour se battre ?,Des fils,Des pistolets,Des boomerangs,Des couteaux,Des assiettes,Des balles de tennis,1,Prisonnier Riku,hard,2025-10-30 16:46:43.115066+00
136,Quelle menuiserie riku integre t-il dès son arrivée à la prison ?,24e menuiserie,25e menuiserie,26e menuiserie,27e menuiserie,28e menuiserie,29e menuiserie,4,Prisonnier Riku,extreme,2025-10-30 16:46:43.115066+00
137,De quelle famille mafieuse Tsuna devient-il le Boss ?,Varia Family,Vongola Family,Millefiore Family,Simon Family,Nero Family,Cavallone Family,2,Katekyo Hitman Reborn,easy,2025-10-30 16:46:43.115066+00
138,Quel type de créature est Puck ?,Un sorcier,Un elfe,Un golem,Un troll,Un phénix,un dragon,2,Berserk,medium,2025-10-30 16:46:43.115066+00
139,Dans quel endroit se sont rencontrés Guts et Puck ?,Une taverne,Une forêt,Une grotte,Un château,Une ferme,Une église,1,Berserk,medium,2025-10-30 16:46:43.115066+00
140,Comment est surnommé Guts ?,Le Chevalier Noir,L'Ange des ténèbres,Le Maraudeur Solitaire,Le Maudit du Midland,Le Boucher Sanguinaire,Le Bretteur Déchu,1,Berserk,easy,2025-10-30 16:46:43.115066+00
141,Quel groupe de mercenaire est dirigé par Griffith ?,La Troupe du Faucon,Les Éperviers d'Argent,La Compagnie des Lames Blanches,L'Ordre des Griffons Blancs,La Brigade Écarlate,Les Guerriers du Midland,1,Berserk,medium,2025-10-30 16:46:43.115066+00
142,Que permet la poussière d'elfe ?,Soigner les blessures,Provoquer des hallucinations,Accroître la force physique,Rendre invisible temporairement,Faire léviter des êtres vivants,Adoucir les esprits,1,Berserk,hard,2025-10-30 16:46:43.115066+00
143,Qu'est-ce qu'une Béhérit ?,Une relique maudite,Une clé légendaire,Un collier sacré,Une dimension parallèle,Une personne devenue immortel,Une explosion de gaz,1,Berserk,hard,2025-10-30 16:46:43.115066+00
144,Combien de membres comptent les God Hands ?,5,10,7,3,1,9,1,Berserk,medium,2025-10-30 16:46:43.115066+00
145,A quelle fréquence apparaissent les Béhérit pourpres ?,Tous les 216 ans,Tous les millénaires,Tous les 99 ans,Tous les 1001 ans,Tous les 13 ans,Tous les 501 ans,1,Berserk,extreme,2025-10-30 16:46:43.115066+00
146,Par quel moyen Guts détecte-t-il la présence de ses ennemis ?,Par sa marque du sacrifice,Par son instinct de guerrier,Par la couleur de son épée,Par le pouvoir de son oeil gauche,Grâce aux vibrations du sol,Grâce à l'aide de son compagnon elfique,1,Berserk,hard,2025-10-30 16:46:43.115066+00
147,"Parmi ces personnages, lequel à survécu au cours de l'Éclipse ?",Rickert,Judeau,Pippin,Corkus,Gaston,Vargas,1,Berserk,medium,2025-10-30 16:46:43.115066+00
148,Qu'est-il arrivé à Casca suite à l'Éclipse ?,Elle a perdu la mémoire,Elle a été transformée en apôtre,Elle a été emprisonnée dans une autre dimension,Elle a développé des visions prophétiques,Elle à changé de sexe,Elle à perdu l'usage de tous ses membres,1,Berserk,hard,2025-10-30 16:46:43.115066+00
149,Quel est le véritable objectif de Griffith ?,Devenir un God Hand,Devenir roi de son propre royaume,Devenir immortel,De réssuciter ses parents,S'unir à la princesse du Midland,Se venger de Casca,2,Berserk,veryhard,2025-10-30 16:46:43.115066+00
150,Comment Griffith s'est-il débarassé de la reine du Midland ?,En la brûlant vive,En l'exilant loin du royaume,En la faisant assassiner par Guts,En l'empoisonnant avec un flacon,En lui fendant le crâne personnellement,En la laissant mourir de faim,1,Berserk,veryhard,2025-10-30 16:46:43.115066+00
151,Comment est appelé l'épée de Guts ?,Dragonslayer,Eclipse Blade,Demon's Edge,GodKiller,Black Fang,Steel Breaker,1,Berserk,hard,2025-10-30 16:46:43.115066+00
152,Quel groupe de mercenaires est commandé par le roi du Midland pour tuer Guts ?,Les Bakirakas,Les Vassalons,Les Vorkarias,Les Black Arrows,Les Zarikas,Les Kharakas,1,Berserk,hard,2025-10-30 16:46:43.115066+00
153,Qui dirige l'ordre du molosse noir ?,Wyald,Locus,Zodd,Grunbeld,Femto,Void,1,Berserk,hard,2025-10-30 16:46:43.115066+00
154,Qui offre l'armure du Berserker à Guts ?,Flora,Schierke,Slan,Rickert,Casca,Serpico,1,Berserk,veryhard,2025-10-30 16:46:43.115066+00
155,"Qui fait équipe avec Guts pour combattre Ganishka, l'empereur des Kushan ?",Zodd,Griffith,Casca,Serpico,Isidro,Wyald,1,Berserk,hard,2025-10-30 16:46:43.115066+00
156,Comment se nomme la cité utopique fondée par Griffith ?,Falconia,Utopia,Regalia,Dawnwall,Demonia,Edenia,1,Berserk,veryhard,2025-10-30 16:46:43.115066+00
157,Quelle God Hand apparait dans le Qliphoth ?,Slan,Zodd,Ubik,Conrad,Femto,Void,1,Berserk,veryhard,2025-10-30 16:46:43.115066+00
158,Dans quel endroit sont abrités les guerriers-démons de Griffith ?,Le Pandémonium,Le Jardin d'Éden,L'Abysse,L'Antre d'Hadès,Le Netherworld,La Death Parade,1,Berserk,veryhard,2025-10-30 16:46:43.115066+00
159,Pour quelle raison Farnèse accompagne t-elle Guts dans son voyage ?,Pour chercher sa propre identité,Par amour pour Guts,Pour rester auprès de Casca,Pour retrouver la foi,Pour devenir plus forte physiquement,Par soif d'aventure,1,Berserk,veryhard,2025-10-30 16:46:43.115066+00
160,Que se passe t-il lorsque Baby Beel pleure ?,Il produit de l'électricité,Il téléporte aléatoirement les personnes aux alentours,Il flotte pendant un temps limité,Il grandit temporairement,Il arrête le temps pendant 5 min,Il provoque des séismes,1,Beelzebub,hard,2025-10-30 16:46:43.115066+00
161,Comment se nomme le frère de Porco ?,Marcel,Calie,Rosso,Falco,Reiner,Andrew,1,Shingeki no Kyojin,medium,2025-10-30 16:46:43.115066+00
162,Quel est l'identité du Titan Bestial ?,Bertholdt,Reiner,Zeke,Connie,Eren,Mikasa,3,Shingeki no Kyojin,easy,2025-10-30 16:46:43.115066+00
163,Qui est le chef ultime des trois corps d'armée ?,Daris Zackley,Kael Arcturus,Ragos Velnar,Graad Seizel,Varkas Leone,Drein Astor,1,Shingeki no Kyojin,hard,2025-10-30 16:46:43.115066+00
164,Quel est le vrai nom de Christa Lenz ?,Historia Reiss,Historia Fritz,Historia Jaeger,Historia Ackermann,Historia Blaze,Historia Ford,1,Shingeki no Kyojin,easy,2025-10-30 16:46:43.115066+00
165,Dans quelle saison de l'Anime découvre t-on l'identité du Titan Cuirassé et Titan Colossal,Saison 1,Saison 2,Saison 3,Saison 4,Saison 5,Saison 6,2,Shingeki no Kyojin,easy,2025-10-30 16:46:43.115066+00
166,Qui était l'hôte du Titan Asaillant avant Grisha ?,Eren Kruger,Zeke Jaeger,Daris Zacklet,Dot Fritz,Ymir,Dina Fritz,1,Shingeki no Kyojin,medium,2025-10-30 16:46:43.115066+00
167,Quel camp d'Eldiens est victime de l'assaut d'Eren lors de son offensive contre Mahr ?,Revelio,Slava,Odiha,Trost,Lakua,Shinganshina,1,Shingeki no Kyojin,hard,2025-10-30 16:46:43.115066+00
168,Quels sont les 3 murs principaux de l'île de Paradis ?,Maria Rose Sina,Myra Rosa Selma,Zara Elna Saria,Rose Sina Myra,Maria Zara Rose,Sina Rose Zara,1,Shingeki no Kyojin,veryeasy,2025-10-30 16:46:43.115066+00
169,De quel district Eren est-il originaire ?,Shinganshina,Trost,Stohess,Orvul,Hermiha,Revelio,1,Shingeki no Kyojin,easy,2025-10-30 16:46:43.115066+00
170,Qui parmi ces personnages à rencontré Goku en premier ?,Bulma,Krillin,Tortue Génial,Yajirobe,Yamcha,Oolong,1,Dragon Ball,veryeasy,2025-10-30 16:46:43.115066+00
171,Quelle formule est écrite sur la veste de Senku ?,E = mc²,C = pw²,A² = B² + C²,W = v² - w²,W = F⋅d,PV = nRT,1,Dr. Stone,easy,2025-10-30 16:46:43.115066+00
172,Quelle est le modèle de la voiture du sous-directeur ?,Toyota Cresta,Toyota Avalon,Toyota GT86,Toyota Corolla,Toyota Kaira,Toyota Yaris,1,Great Teacher Onizuka,hard,2025-10-30 16:46:43.115066+00
173,Quel pourcentage de la population possède des pouvoirs ?,80%,70%,50%,10%,5%,90%,1,My Hero Academia,medium,2025-10-30 16:46:43.115066+00
174,Qui est le protagoniste de la 4eme partie ?,Joseph Joestar,Josuke Higashikata,Giorno Giovanna,Jotaro Kujo,Jonathan Joestar,Jolyne Cujoh,2,Jojo's Bizarre Adventure,veryeasy,2025-10-30 16:46:43.115066+00
175,Comment se nomme la plante permettant de repousser les démons ?,Glycine,Mycine,Orchidee,Artemisia,Euphorbe,Coleus,1,Demon Slayer,medium,2025-10-30 16:46:43.115066+00
176,Quel carte n'a jamais été utilisé par Yugi ?,Le Magicien des ténèbres,Le Magicien du temps,Slifer le Dragon du Ciel,Gearfried le chevalier d'Acier,Gaïa le chevalier implacable,Buster Blader,4,YuGiOh,hard,2025-10-30 16:46:43.115066+00
177,Quelle nourriture mange constamment Mello ?,Des bonbons,Du chocolat,Des nouilles,Des bananes,Des yaourts,Du pain,2,Death Note,easy,2025-10-30 16:46:43.115066+00
178,Quel groupe de personnage accompagne Gohan sur namek ?,Bulma et Krillin,Krillin et Goku,Goku et Bulma,Krillin et Tortue Génial,Bulma et Tortue Génial,Goku et Piccolo,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
179,De quoi est passionné Okarun ?,D'extraterrestre,De robots,De voyages temporels,De mythologie,De civilisations antiques,D'animaux fantastiques,1,DanDaDan,easy,2025-10-30 16:46:43.115066+00
180,Quelle activité exerce la grand mère de Momo Ayase ?,Médium,Herboriste,Apothicaire,Institutrice,Tarologue,Médecin,1,DanDaDan,medium,2025-10-30 16:46:43.115066+00
181,Quelle vitesse peut atteindre au maximum mémé Turbo ?,100 km/h,1000 km/h,10 km/h,500 km/h,50 km/h,20 000 km/h,1,DanDaDan,hard,2025-10-30 16:46:43.115066+00
182,Qui est Jiji pour Momo ?,Son premier amour,Son oncle,Son professeur de svt,Son gendre,Son rival,Son pire ennemi,1,DanDaDan,medium,2025-10-30 16:46:43.115066+00
183,Quelle est la particularité d'Aira ?,Elle est très vaniteuse,Elle déteste les hommes,Elle ne dort jamais,Elle change de coupe tous les jours,Elle ne sait pas lire,Elle a 330 de qi,1,DanDaDan,medium,2025-10-30 16:46:43.115066+00
184,Comment s'appelle le café dans lequel Kaneki commence à travailler ?,Antique,Despair,Quinella,Ghost,Rabbit,White,1,Tokyo Ghoul,easy,2025-10-30 16:46:43.115066+00
185,Dans quel arrondissement de Tokyo se situe le QG du CCG ?,1er,3eme,20eme,19eme,10eme,11eme,1,Tokyo Ghoul,medium,2025-10-30 16:46:43.115066+00
186,Sous quelle condition peut-on monter sur le nuage magique ?,Avoir le coeur pur,Etre de sang royal,Avoir bu de l'eau bénite,Etre un garçon,Avoir rencontré dieu,Porter un talisman magique,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
187,Quelle boule de cristal possédait Tortue Génial avant de rencontrer Goku et ses amis ?,Boule à 3 étoiles,Boule à 7 étoiles,Boule à 1 étoiles,Boule à 2 étoiles,Boule à 5 étoiles,Boule à 6 étoiles,1,Dragon Ball,veryhard,2025-10-30 16:46:43.115066+00
188,Qui parmi ces personnes ne peut pas monter sur le nuage magique ?,Gohan,Goku,Chichi,Lunch,Bulma,Oob,5,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
189,De quel pouvoir Oolong est-il doté ?,Il peut se métamorphoser,Il peut devenir invisible,Il peut se téléporter,Il peut sauter très haut,Il peut voir à travers les vêtements,Il peut voir l'avenir,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
190,Pendant combien de temps peut se transformer Oolong ?,5 minutes,1 minute,10 minutes,30 minutes,30 secondes,5 secondes,1,Dragon Ball,hard,2025-10-30 16:46:43.115066+00
191,Quelle activité Yamcha exerçait-il à l'origine ?,Bandit,Aviateur,Joueur de Baseball,Avocat,Vendeur de crack,Vigile,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
192,"Où réside Gyumao, le père de Chi-Chi ?",Mont Frypan,Kame House,Capsule Corporation,West City,Dream Land,Basil Island,1,Dragon Ball,hard,2025-10-30 16:46:43.115066+00
193,"En quoi Toninjinka, le chef du gang des lapins, peut-il transformer ses ennemis ?",En carotte,En fromage,En poivron,En trèfle,En tomate,En feuille,1,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
194,Qui à formulé le tout premier voeu auprès de Shenron ?,Goku,Pillaf,Oolong,Yamcha,Bulma,Chichi,3,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
195,Quel à été le voeu d'Oolong auprès de Shenron ?,Avoir une culotte,Devenir riche,Devenir beau,Avoir une petite amie,Pouvoir voler,Remonter le temps,1,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
196,Quel est le délai nécessaire avant de pouvoir réutiliser les Dragon Ball après leur utilisation ?,1 an,3 ans,6 mois,3 mois,1 mois,3 semaines,1,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
197,Que se passe t-il lorsqu'une personne presse la queue de singe de Goku ?,Il perd sa force,Il se transforme en singe,Il s'endort,Il devient violent,Il se transforme en fille,Il devient plus fort,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
198,Que se passe t-il lorsque Lunch éternue ?,Elle devient violente,Elle change la météo,Elle se téléporte aléatoirement,Elle provoque des tornades,Elle lévite temporairement,Elle devient toute nue,1,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
199,Quelle épreuve ne faisait pas partie de l'entraînement de Goku et Krillin sous la supervision de Tortue Géniale ?,Labourer des champs,Livrer du lait,Nager avec des requins,Chercher un caillou dans une fôret,Porter des carapaces de 60kg,Escalader des montagnes,6,Dragon Ball,hard,2025-10-30 16:46:43.115066+00
200,Comment est surnommé Lize Kamishiro ?,La Goinfre,La Faucheuse,La Démone,L'Ourson,La Mère Porteuse,La Chasseuse,1,Tokyo Ghoul,easy,2025-10-30 16:46:43.115066+00
201,Quel est l'auteur préféré de Kaneki ?,Sen Takatsuki,Sui Ishida,Inio Kazuya,Yogiri Yato,Yotsume Kohru,Emma Kazuya,1,Tokyo Ghoul,hard,2025-10-30 16:46:43.115066+00
202,Quelle est la véritable identité de Sen Takatsuki ?,Eto Yoshimura,Lize Kashimiro,Renji Yomo,Hideyoshi Nagachika,Fueguchi Hinami,Ichika Kaneki,1,Tokyo Ghoul,hard,2025-10-30 16:46:43.115066+00
203,Quel est le lien de parenté entre Yomo et Toka ?,Oncle et nièce,frère et soeur,Père et fille,Cousins,Grand père et petit fille,Aucun lien de parenté,1,Tokyo Ghoul,veryhard,2025-10-30 16:46:43.115066+00
204,De quel type est le Kagune de Touka Kirishima ?,Ailé,Blindé,A queue,Ecailleux,Fumée,Brumeux,1,Tokyo Ghoul,hard,2025-10-30 16:46:43.115066+00
205,Quelle denrée permet aux Ghoules de réprimer leur besoins cannibales ?,Du Café,Du Lait,Des Biscuits,Du Sucre,Du Yaourt,Des pommes,1,Tokyo Ghoul,medium,2025-10-30 16:46:43.115066+00
206,Comment appelle t-on les armes des inspecteurs du CCG ?,Quinque,Arata,GhoulSlayer,RC Blade,Kagune,Wickle,1,Tokyo Ghoul,easy,2025-10-30 16:46:43.115066+00
207,Quel nombre est associé à Suzuya Juzo ?,9,1,13,99,56,30,3,Tokyo Ghoul,hard,2025-10-30 16:46:43.115066+00
208,Qui est surnommé l'Ange de la mort ?,Juzo Suzuya,Kisho Arima,Kaneki Ken,Ayato Kirishima,Yoshimura Kuzen,Kuki Urie,2,Tokyo Ghoul,medium,2025-10-30 16:46:43.115066+00
209,Quelle organisation de Ghouls est connu pour s'opposer au CCG ?,Aogiri,V,Pierrots,CCG,Kuroi Yagi,Neo Ghoul,1,Tokyo Ghoul,medium,2025-10-30 16:46:43.115066+00
210,Qui a fondé Aogiri ?,Eto Yoshimura,Kisho Arima,Yakumo Oomori,Rei Suzuya,Furuta Washuu,Kaneki Ken,1,Tokyo Ghoul,veryhard,2025-10-30 16:46:43.115066+00
211,Qui devient le partenaire de Amon après le mort de Mado ?,Akira,Suzuya,Hide,Ayato,Noro,Shiro,1,Tokyo Ghoul,hard,2025-10-30 16:46:43.115066+00
212,Qui est surnommé le Gourmet ?,Tsukiyama Shu,Ayato Kirishima,Renji Yomo,Uta,Furuta,Kuki Urie,1,Tokyo Ghoul,medium,2025-10-30 16:46:43.115066+00
213,Qu'arrive t-il à Kaneki après son premier affrontement avec Kisho Arima ?,Il meurt,Il perd la mémoire,Il redevient humain,Il rajeunit,Il devient aveugle,Il devient méchant,2,Tokyo Ghoul,medium,2025-10-30 16:46:43.115066+00
214,Quelle organisation Kaneki rejoint-il après sa perte de mémoire ?,L'Arbre d'Aogiri,Le CCG,Les Chèvres Noirs,Les V,Les enfants du jardin,Les Washuus,2,Tokyo Ghoul,medium,2025-10-30 16:46:43.115066+00
215,Comment Saiko Yonebayashi surnomme t-elle Kaneki ?,Grand frère,Maman,Papa,Chéri,Beau gosse,Esclave,2,Tokyo Ghoul,veryhard,2025-10-30 16:46:43.115066+00
216,Sous quelle idendité vit Kaneki après son affrontement contre Kisho Arima ?,Haise Sasaki,Rei Juzo,Arima Suzuya,Kuki Urie,Amon Akira,Yoshimura Ken,1,Tokyo Ghoul,easy,2025-10-30 16:46:43.115066+00
217,Quelle organisation fondée par Kaneki à pour but d'unifier les Ghoules et les humains ?,Les chèvres noirs,Les lapins rouges,Les démons blancs,Les assassins pourpres,Les chiens blancs,Les chats noirs,1,Tokyo Ghoul,veryhard,2025-10-30 16:46:43.115066+00
218,"Parmi ces personnages, qui ne fait pas partie du groupe des Quinckes ?",Mutsuki,Sasaki,Urie,Shirazu,Yonebayashi,Furuta,6,Tokyo Ghoul,veryhard,2025-10-30 16:46:43.115066+00
219,Sous quelle condition peut-on monter sur le nuage magique ?,Avoir le coeur pur,Etre de sang royal,Avoir bu de l'eau bénite,Etre un garçon,Avoir rencontré dieu,Porter un talisman magique,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
221,Qui parmi ces personnes ne peut pas monter sur le nuage magique ?,Gohan,Goku,Chichi,Lunch,Bulma,Oob,5,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
223,Pendant combien de temps peut se transformer Oolong ?,5 minutes,1 minute,10 minutes,30 minutes,30 secondes,5 secondes,1,Dragon Ball,hard,2025-10-30 16:46:43.115066+00
224,Quelle activité Yamcha exerçait-il à l'origine ?,Bandit,Aviateur,Joueur de Baseball,Avocat,Vendeur de crack,Vigile,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
226,"En quoi Toninjinka, le chef du gang des lapins, peut-il transformer ses ennemis ?",En carotte,En fromage,En poivron,En trèfle,En tomate,En feuille,1,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
227,Qui à formulé le tout premier voeu auprès de Shenron ?,Goku,Pillaf,Oolong,Yamcha,Bulma,Chichi,3,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
228,Quel à été le voeu d'Oolong auprès de Shenron ?,Avoir une culotte,Devenir riche,Devenir beau,Avoir une petite amie,Pouvoir voler,Remonter le temps,1,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
229,Quel est le délai nécessaire avant de pouvoir réutiliser les Dragon Ball après leur utilisation ?,1 an,3 ans,6 mois,3 mois,1 mois,3 semaines,1,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
230,Que se passe t-il lorsqu'une personne presse la queue de singe de Goku ?,Il perd sa force,Il se transforme en singe,Il s'endort,Il devient violent,Il se transforme en fille,Il devient plus fort,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
231,Que se passe t-il lorsque Lunch éternue ?,Elle devient violente,Elle change la météo,Elle se téléporte aléatoirement,Elle provoque des tornades,Elle lévite temporairement,Elle devient toute nue,1,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
232,Quelle épreuve ne faisait pas partie de l'entraînement de Goku et Krillin sous la supervision de Tortue Géniale ?,Labourer des champs,Livrer du lait,Nager avec des requins,Chercher un caillou dans une fôret,Porter des carapaces de 60kg,Escalader des montagnes,6,Dragon Ball,hard,2025-10-30 16:46:43.115066+00
233,Quel temps Tortue Géniale a-t-il réalisé au 100m lors de son entraînement avec Goku et Krillin ?,5.6 sec,8.1 sec,10.9 sec,11 sec,3.3 sec,6.9 sec,1,Dragon Ball,extreme,2025-10-30 16:46:43.115066+00
234,Que marque Tortue Géniale sur la pierre que doivent trouver Goku et Krillin lors de leur entraînement ?,Tortue,Entrainement,Courage,Chauve,Femme,Puissance,1,Dragon Ball,veryhard,2025-10-30 16:46:43.115066+00
235,Où se déroule le Tenkaichi Budokai ?,Sur l'île Papaya,Dans la ville de Haru,Sur l'île de Wasteland,Dans la ville de WestCity,Au village de Sen,Sur l'île de Shinchu,1,Dragon Ball,hard,2025-10-30 16:46:43.115066+00
236,À quelle édition du Tenkaichi Budokai Goku participe-t-il pour la première fois ?,21ème,22ème,20ème,23ème,24ème,25ème,1,Dragon Ball,hard,2025-10-30 16:46:43.115066+00
237,À quelle fréquence le Tenkaichi Budokai est-il organisé ?,Tous les 10 ans,Tous les ans,Tous les 5 ans,Tous les 3 ans,Tous les 2 ans,Tous les 7 ans,3,Dragon Ball,veryhard,2025-10-30 16:46:43.115066+00
238,Sous quelle identité participe Tortue Géniale au Tenkaichi Budokai ?,Jackie Chun,Amond,An Azuki,Dobobon,Dr Auto,Colonel Silver,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
239,Qui oppose la finale du 2e Tenkaichi Budokai présenté dans la série ?,Goku et Jackie Chun,Goku et Piccolo,Goku et Tenshinhan,Goku et Krillin,Jackie Chun et Tenshinhan,Piccolo et Jackie Chun,3,Dragon Ball,hard,2025-10-30 16:46:43.115066+00
240,Qui remporte le 2e Tenkaichi Budokai présenté dans la série ?,Goku,Jackie Chun,Piccolo,Tenshinhan,Yamcha,Krillin,4,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
241,Quelle est la particularité de Krillin ?,Il fait 2 mètres,Il n'a pas de nez,Il est aveugle,Il est unijambiste,Il est français,Il est immensément riche,2,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
242,Quel est le véritable nom de Son Goku ?,Kakarot,Turtle,Cumber,Tarble,Trunks,Shinchu,1,Dragon Ball,veryeasy,2025-10-30 16:46:43.115066+00
243,Sur quelle planète est né Goku ?,La Planète Ankoku,La Planète Yardra,La Planète Vegeta,La Planète Kuhn,La Planète Luud,La Planète Makyo,3,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
244,Quel est le premier membre de l'Armée du Ruban Rouge que Goku affronte ?,Commandant Silver,Général Blue,Sergent Metallic,Général Red,Colonel Violet,Sergent Murasaki,1,Dragon Ball,veryhard,2025-10-30 16:46:43.115066+00
245,Qui dirige l'Armée du Ruban Rouge ?,Général Red,Commandant Blue,Colonel Black,Commandant Silver,Colonel Rainbow,Sergent Chef White,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
246,Qui est Murasaki ?,Un Samurai,Un Ninja,Un Ermite,Un Robot,Un Ours,Un Dinosaure,2,Dragon Ball,hard,2025-10-30 16:46:43.115066+00
247,Quel est le secret du Général Blue ?,Il est Homosexuel,Il a plus de 200 ans,Il n'a pas de bras,Il peut voir de très loin,Il a les yeux de couleurs différentes,Il à peur des humains,1,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
248,Quel personnage provenant d'un autre manga de Toriyama apparaît dans le manga ?,Aralé,Jack,Sora,Puison,Yakon,Naruto,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
249,Sous quelle apparence Karin est présenté ?,Un chien,Un chat,Un lapin,Un cheval,Un dinosaure,Un cygne,2,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
250,Comment Tao Pai Pai élimine t-il le Général Blue ?,D'un coup de langue,D'un lancer de couteau,Par éttoufement,Par la pensée,D'un coup de marteau,En le poussant d'une fenêtre,1,Dragon Ball,hard,2025-10-30 16:46:43.115066+00
251,Quelle est l'attaque signature de Tao Pai Pai ?,Makankosappo,Dodonpa,Accel Dance,Bad Laser,Kikoho,Kamehameha,2,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
252,Quel est le lien de parenté entre Tortue Géniale et Baba la Voyante ?,Frère et soeur,Cousins,Mère et fils,Grand mère et petit fils,Oncle et nièce,Père et fille,1,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
253,Qui ne fait pas partie du groupe de combattants de Baba la voyante ?,Draculaman,Suké,Momie,Diableman,Son Gohan,Pillaf,6,Dragon Ball,hard,2025-10-30 16:46:43.115066+00
254,Combien de fois Shenron a t-il été invoqué avant Dragon Ball Z ?,1 fois,2 fois,3 fois,4 fois,5 fois,6 fois,4,Dragon Ball,veryhard,2025-10-30 16:46:43.115066+00
255,Par quelle technique le roi démon Piccolo à t-il été jadis emprisonné ?,Sokidan,Mafuba,Buku Jutsu,Otori,Big Bang,Change Attack,2,Dragon Ball,hard,2025-10-30 16:46:43.115066+00
256,"Parmi ces personnages, qui a déjà tué Shenron ?",Piccolo,Frieza,Cell,Vegeta,Raditz,Trunks,1,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
257,A quoi servait à l'origine le baton magique de Goku ?,A lier la tour Karin au palais divin,A lier la terre à la lune,A labourer des champs,A construire des barrages,A faire de la musique,A chasser des démons,1,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
258,Quelle est la seule personne que Goku affronte à 2 reprises lors des Tenkaichi Budokai ?,Roi Chapa,Tambourine,Jackie Chun,Krillin,Devilman,Upa,1,Dragon Ball,veryhard,2025-10-30 16:46:43.115066+00
259,Qui parmi ces personnages n'a pas participé au 3e Tenkaichi Budokai de la série ?,Chichi,Krillin,Piccolo,Chiaozu,Yamcha,Tenshinhan,4,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
260,Comment s'appelle l'attaque signature de Yamcha ?,Sokidan,Garlic Gun,Mafuba,Rogaku,Kenfuken,Mystic Thieve,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
261,Combien de temps s'est-il écoulé entre Dragon Ball et Dragon Ball Z ?,5 ans,10 ans,3 ans,1 ans,7 ans,6 mois,1,Dragon Ball,veryhard,2025-10-30 16:46:43.115066+00
262,Que voulait devenir Gohan étant enfant ?,Un grand Scientifique,Un Détective privé,Un bon Photographe,Un Acteur connu,Un grand Spationaute,Un Chanteur très doué,1,Dragon Ball,hard,2025-10-30 16:46:43.115066+00
263,Quel est le lien de parenté entre Goku et Raditz ?,Frères,Cousins,Oncle et neveu,Père et fils,Grand père et petit fils,Rivaux,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
264,Quel est le lien de parenté entre Gohan et Raditz ?,Frères,Cousins,Oncle et neveu,Père et fils,Grand père et petit fils,Rivaux,3,Dragon Ball,medium,2025-10-30 16:46:43.115066+00
265,Qu'est-ce que le Makankosanpo ?,Un rayon démoniaque,Un boîte mortelle,Un plat savoureux,Une île paradisiaque,Un titre de chanson,Un animal légendaire,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
266,Qui tue Goku pour la première fois ?,Piccolo,Raditz,Vegeta,Frieza,Krillin,Cell,1,Dragon Ball,easy,2025-10-30 16:46:43.115066+00
